cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
63,9.24,Supermarkets,0.0077,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
64,174073.88,Supermarkets,580.2462666667,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
65,8.0,Supermarkets,0.0133333333,Cordoba,Industrial,Cordoba,10314,Suburban Stores,0
66,85020.3,Supermarkets,283.401,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
67,109664.36,Supermarkets,219.32872,Vizcaya,Industrial,Vizcaya,15555,Smaller Metropolis,5
68,40450.64,Supermarkets,134.8354666667,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
69,439472.48,Supermarkets,313.9089142857,Ciudad Real,Industrial,Ciudad Real,10570,For the tourists,2
70,321164.45,Hipermarkets,37.7840529412,Malaga,touristic,Malaga,10261,Suburban Stores,0
71,352850.05,Supermarkets,294.0417083333,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
72,579460.77,Supermarkets,643.8453,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,The Socials,1
73,4338.88,Supermarkets,21.6944,Leon,Primary Sector,Leon,12917,Slow stores,4
74,447716.53,Supermarkets,298.4776866667,Cadiz,Industrial,Cadiz,10113,For the tourists,2
75,8.52,Supermarkets,0.0284,La Rioja,Industrial,La Rioja,12738,Traditional Store,3
76,30335.59,Supermarkets,50.5593166667,Salamanca,Industrial,Salamanca,12355,Traditional Store,3
77,899963.46,Supermarkets,499.9797,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
78,25446.76,Supermarkets,15.904225,Malaga,touristic,Malaga,10261,Suburban Stores,0
79,42.6,Supermarkets,0.0852,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
80,19782.83,Supermarkets,32.9713833333,Caceres,Primary Sector,Caceres,10660,Suburban Stores,0
81,17177.07,Supermarkets,171.7707,La Coruña,Industrial,La Coruña,12841,Traditional Store,3
82,552624.19,Supermarkets,307.0134388889,Granada,Industrial,Granada,10463,For the tourists,2
83,226537.95,Supermarkets,283.1724375,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
